sample_id,aligner_name,variant_type,FN,FP,TP,Precision,Recall,F1-Score,organism,dataset
baruzzo_malaria_t1r3,novoSplice,insertion,218,283,1287,0.8197452229294142,0.8551495016605614,0.8370731702313862,Malaria,T1
baruzzo_malaria_t2r1,DRAGEN,deletion,188,2360,5080,0.6827956989246393,0.964312832194198,0.7994963797474044,Malaria,T2
baruzzo_malaria_t2r1,DRAGEN,insertion,284,1760,5481,0.7569396492196164,0.9507372072851776,0.8428417648453842,Malaria,T2
baruzzo_malaria_t2r1,DeepSAP,deletion,206,2547,5062,0.6652648179786219,0.9608959757021713,0.7862079672107416,Malaria,T2
baruzzo_malaria_t2r1,DeepSAP,insertion,300,1950,5465,0.7370195549560705,0.9479618386815354,0.8292867976867695,Malaria,T2
baruzzo_malaria_t2r1,HISAT2,deletion,689,2105,4579,0.6850688210651279,0.8692103264994553,0.7662315925457116,Malaria,T2
baruzzo_malaria_t2r1,HISAT2,insertion,755,1567,5010,0.7617454766609758,0.8690372940154606,0.8118619343586198,Malaria,T2
baruzzo_malaria_t2r1,STAR,deletion,376,2512,4892,0.6607239330090949,0.928625664388586,0.772095959110044,Malaria,T2
baruzzo_malaria_t2r1,STAR,insertion,519,3613,5246,0.592166158708591,0.9099739809191829,0.7174507653866152,Malaria,T2
baruzzo_malaria_t2r1,Subjunc,deletion,2082,250,3186,0.9272409778809875,0.6047835990887234,0.7320772054043351,Malaria,T2
baruzzo_malaria_t2r1,Subjunc,insertion,1766,263,3999,0.9382918817454391,0.6936686903728198,0.7976463543530019,Malaria,T2
baruzzo_malaria_t2r1,novoSplice,deletion,928,1515,4340,0.7412467976087547,0.8238420652997677,0.7803650089411515,Malaria,T2
baruzzo_malaria_t2r1,novoSplice,insertion,813,1211,4952,0.8035047866297577,0.8589765828272578,0.8303152241818393,Malaria,T2
baruzzo_malaria_t2r2,DRAGEN,deletion,218,2330,5015,0.6827773995914659,0.9583412956237419,0.7974240732935857,Malaria,T2
baruzzo_malaria_t2r2,DRAGEN,insertion,292,1801,5569,0.7556309362278486,0.9501791503154836,0.8418108981534931,Malaria,T2
baruzzo_malaria_t2r2,DeepSAP,deletion,192,2473,5041,0.6708810220920054,0.9633097649529976,0.7909311990138073,Malaria,T2
baruzzo_malaria_t2r2,DeepSAP,insertion,302,1949,5559,0.7404102290888731,0.948472956833143,0.8316254015569815,Malaria,T2
baruzzo_malaria_t2r2,HISAT2,deletion,674,2068,4559,0.6879432624112437,0.8712019873875652,0.7688026976518033,Malaria,T2
baruzzo_malaria_t2r2,HISAT2,insertion,760,1616,5101,0.7594164061335775,0.8703292953419433,0.8110987433406348,Malaria,T2
